Index,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
708,60036215,700535,,0,,,,F,,233,233,Z011,Z1,320.0,4116176.0,1,,2000,,5300387136,0,1.0,21,110400000,ST,
725,400123,700464,,0,,,,F,,206,206,Z001,Z1,,,1000,,2100,,5300016724,0,1.0,14,10201000,MM,
726,9001131,703564,,0,,,,F,,203,203,Z001,Z1,,,1,,2100,,5300053346,0,40.0,112,130700000,ST,
730,402009,703535,,0,,,,F,,203,203,Z002,Z2,,,1,,2000,,5300020907,0,40.0,49,131000000,ST,
745,400325,702533,,0,,,,F,,206,206,Z001,Z7,,,1000,,2100,,5300017566,0,1.0,14,10303000,MM,
753,60096740,2000,,0,,,,F,40.0,224,224,Z012,Z5,,,100,,3000,3000.0,5300500261,0,1.0,10,10102000,ST,
758,370142,700020,,0,,,,F,,208,208,Z011,X4,37010.0,39356.0,100,E20,2000,,5300001459,0,1.0,12,140100000,ST,
827,23464602,703558,,0,,,,F,,203,203,Z001,Z1,,,1,,2000,,5300028944,0,40.0,84,60100000,ST,
845,60095768,2000,,0,,,,F,40.0,224,224,Z012,Z5,,,100,,3000,3000.0,5300500192,0,1.0,10,0,ST,
878,30020645,700151,,0,,,,F,40.0,233,233,Z011,Y4,,,1000,E15,2100,,5300191359,0,1.0,3,60100000,ST,
911,95194054,714899,,0,,,,F,,213,213,Z008,Y6,11960.0,785155.0,1,E14,2000,,5300442627,0,1.0,56,10401000,ST,
919,60097885,2000,,0,,,,F,40.0,224,224,Z012,Z5,,,100,,3000,3000.0,5300502522,0,1.0,10,60000000,ST,
937,60015272,700230,5500002573.0,20,14.0,14.0,84.0,F,,715,715,Z001,Y5,19130.0,82607.0,100,E14,2000,,5300363604,0,1.0,14,100202000,ST,
945,370580,701806,5500000463.0,10,4.0,4.0,60.0,F,,708,708,Z011,V5,10580.0,16782.0,100,E98,2000,,5300174173,0,2.0,4,140100000,ST,
5860,310810,700095,,0,,,,F,,203,203,Z001,Y5,7250.0,439936.0,1,E11,3000,,5300004100,0,1.0,70,30202000,ST,1.0
15320,4002720,700961,,0,,,,F,,203,203,Z001,Z1,,,1,,2000,,5300106740,0,1.0,14,71000000,ST,1.0
10419,341387,706186,,0,,,,F,,215,215,Z012,Y5,80.0,35.0,100,E11,3000,,5300092889,0,1.0,28,80600000,ST,1.0
8158,311233,701424,,0,,,,F,,703,703,Z001,Z7,,,100,,2000,,5300097214,0,1.0,14,130000000,ST,1.0
352,393421,704232,4600004693.0,50,28.0,,,F,40.0,206,206,Z001,Z1,,,1,,2100,,5300063284,0,1.0,3,520300000,ST,1.0
10463,60032467,700000,,0,,,,F,,279,279,Z001,Z7,1050.0,693.0,100,,3000,,5300552389,0,1.0,28,10500000,ST,1.0
1148,311031,703080,,0,,,,F,,233,233,Z001,Y2,20.0,5488.0,100,E13,3000,,5300005181,0,1.0,365,110000000,ST,1.0
10416,311410,718689,5500007897.0,10,14.0,14.0,49.0,F,,733,733,Z008,Y2,,,1,E13,2000,,5300535536,0,1.0,14,110100000,ST,1.0
16575,430042,709173,,0,,,,F,,215,215,Z001,Z1,,,1,,2100,,5300155070,0,15.0,21,80100000,ST,1.0
11189,4007038,706899,,0,,,,F,,276,276,Z012,Z9,60.0,54157.0,1,,3000,,5300156341,0,1.0,70,70600000,ST,1.0
323,494330,709451,,0,,,,F,,233,233,Z011,Y2,2180.0,26588.0,100,E13,2100,,5300159090,0,1.0,14,60100000,ST,1.0
8757,390965,702629,,0,,,,F,,206,206,Z001,Z1,,,1,,2100,,5300013356,0,1.0,14,530500000,ST,1.0
13584,23334500,2000,,0,,,,F,40.0,999,999,Z012,Z4,,,1,,3000,3000.0,5300529213,0,1.0,999,550100000,ST,1.0
18548,310442,708543,,0,,,,F,,233,233,Z011,Y9,3760.0,1294506.0,1,E13,3000,,5300142358,0,1.0,154,110600000,ST,1.0
274,346799,705072,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300163933,0,1.0,14,80600000,ST,1.0
11733,4000925,706803,,0,,,,F,,206,206,Z001,Z7,,,100,,2000,,5300105767,0,1.0,14,131400000,ST,1.0
7898,393994,700962,,0,,,,F,,206,206,Z001,Z7,45000.0,3690.0,100,,3000,,5300162278,0,1.0,30,520000000,ST,1.0
6926,4006952,700239,,0,,,,F,,707,707,Z001,Z2,,,1,,2000,,5300155541,0,1.0,21,100202000,ST,1.0
2128,393915,709186,,0,,,,F,,206,206,Z001,X1,13740.0,233574.0,1,,2000,,5300155308,0,1.0,50,530300000,ST,1.0
6428,60053572,708094,,0,,,,F,,211,211,Z001,Y3,,,1,E15,2100,,5300425970,0,1.0,35,10301010,ST,1.0
4050,341197,708235,,0,,,,F,,215,215,Z008,Y4,,,1,E13,2000,,5300137171,0,1.0,42,80200000,ST,1.0
17174,34080911,700670,,0,,,,F,,213,213,Z001,Z1,,,1,,2100,,5300046438,0,1.0,35,40000000,ST,1.0
8150,29090104,702515,,0,,,,F,,215,215,Z001,Z1,,,1,,2100,,5300037077,0,1.0,14,80100000,ST,1.0
6221,60021388,701218,,0,,,,F,,714,714,Z012,Y5,80.0,17304.0,1,E15,3000,,5300372884,0,1.0,182,70100000,ST,1.0
796,4007041,706899,,0,,,,F,,998,998,Z001,Z1,,,1,,2100,,5300156344,0,1.0,28,70000000,ST,1.0
10211,60086056,708094,,0,,,,F,,211,211,Z001,Y3,,,100,E15,2100,,5300466031,0,1.0,35,10301010,ST,1.0
4376,60125583,701805,,0,,,,F,,278,278,Z012,Z1,,,1,,3000,,5300544933,0,1.0,28,70500000,ST,1.0
4117,370527,703992,,0,,,,F,,203,203,Z001,W2,,,100,,2100,,5300058233,0,40.0,49,140700000,ST,1.0
18452,24343003,701528,5500007589.0,10,14.0,14.0,56.0,F,,733,733,Z011,Y4,270.0,47234.0,1,E14,2000,,5300172028,0,1.0,84,60100000,ST,1.0
3116,4006373,705748,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300140950,0,1.0,30,100300000,ST,1.0
853,385553,706869,,0,,,,F,,703,703,Z001,Z1,,,1,,2000,,5300103604,0,1.0,21,130000000,ST,1.0
18291,140022,702513,,0,,,,F,,708,708,Z001,Z1,,,1,,2100,,5300012456,0,1.0,42,131200000,ST,1.0
7345,340035,701202,,0,,,,F,,215,215,Z002,Y5,75.0,178.0,1,E13,2000,,5300383133,0,1.0,14,80100000,M,1.0
18514,4004848,713050,,0,,,,F,,279,279,Z001,Z7,20.0,1644.0,100,,3000,,5300373088,0,1.0,28,80500000,ST,1.0
11184,345510,709734,,0,,,,F,,215,215,Z001,Z1,,,1,,2100,,5300196284,0,1.0,56,80300000,ST,1.0
15033,23791002,701836,,0,,,,F,,223,223,Z001,Z1,,,1,,2100,,5300022981,0,1.0,21,10502000,ST,1.0
11340,347925,700066,,0,,,,F,,203,203,Z011,Y5,,,1,E11,2100,,5300192471,0,1.0,168,131300000,ST,1.0
13078,60060306,712080,,0,,,,F,,279,279,Z001,Y3,3600.0,21960.0,1,E13,3000,,5300427389,0,1.0,35,0,ST,1.0
2409,4000634,704714,,0,,,,F,,277,277,Z012,Y4,80.0,32558.0,1,E11,3000,,5300380587,0,1.0,28,50500000,ST,1.0
4725,380874,700783,,0,,,,F,,203,203,Z002,Z2,,,100,,2000,,5300007739,0,1.0,21,120000000,ST,1.0
314,95050019,703929,,0,,,,F,30.0,993,992,Z001,Z1,,,1,,2000,,5300415388,3,1.0,7,10202000,ST,1.0
17150,60100968,1900,,0,,,,F,,275,275,Z001,Y3,,,100,E11,3000,,5300534422,0,1.0,56,10401000,ST,1.0
1784,4005598,700220,,0,,,,F,,703,703,Z001,Y4,,,100,E11,2000,,5300114562,0,1.0,14,90300000,ST,1.0
9290,341521,706502,,0,,,,F,,276,276,Z012,Y4,200.0,1501.0,100,E15,3000,,5300111371,0,1.0,84,80200000,ST,1.0
4473,270446,703550,,0,,,,F,,206,206,Z001,Z1,,,100,,2000,,5300008793,0,40.0,56,90300000,ST,1.0
16761,82019704,701805,,0,,,,F,,211,211,Z010,Y3,,,1,E11,2000,,5300086279,0,2.0,42,70500000,ST,1.0
11766,90040109,702785,,0,,,,F,,206,206,Z001,Z1,,,1,,2100,,5300071313,0,1.0,30,520200000,ST,1.0
10824,95166006,706184,,0,,,,F,,996,996,Z001,Z1,,,1,,2000,,5300125869,0,1.0,72,80100000,ST,1.0
12327,00280469UB,704581,,0,,,,F,,203,203,Z001,Y2,,,1,E11,2000,,5300098108,0,1.0,84,70100000,ST,1.0
15931,60027338,701306,,0,,,,F,,232,232,Z001,Z1,,,1,,2000,,5300382648,0,1.0,999,30202000,ST,1.0
1397,35150714,2100,,0,,,,F,41.0,203,203,Z011,Y9,30040.0,21127222.0,1,E11,2000,2000.0,5300199900,0,2.0,3,30201000,ST,1.0
12531,60066072,716048,,0,,,,F,,216,216,Z001,Z1,,,1,,2000,,5300520739,0,1.0,56,10401000,ST,1.0
2389,60058655,701834,,0,,,,F,,206,206,Z001,Y4,30000.0,174000.0,100,E15,2100,,5300449168,0,1.0,50,530300000,ST,1.0
6836,270754,703992,,0,,,,F,,203,203,Z001,W2,,,100,,2000,,5300060502,0,1.0,56,140300000,ST,1.0
8198,95183621,707605,,0,,,,F,,215,215,Z001,V4,,,100,E98,2000,,5300503594,0,1.0,68,130404000,ST,1.0
12165,370424,700417,,0,,,,F,,707,707,Z003,Y4,100.0,1474.0,1,E13,2000,,5300003628,0,1.0,35,100400000,ST,1.0
15321,4006420,705960,,0,,,,F,,203,203,Z001,Z1,,,1,,2100,,5300139491,0,1.0,28,131200000,ST,1.0
3482,4001023,708174,,0,,,,F,,707,707,Z001,Z2,,,1,,2100,,5300135575,0,1.0,14,100201000,M,1.0
5847,390879,708978,,0,,,,F,,206,206,Z002,Y4,7010.0,31455.0,100,E13,2000,,5300151414,0,1.0,35,530300000,ST,1.0
1298,60017153,719499,,0,,,,F,30.0,706,706,Z008,Y9,200.0,131814.0,1,E13,2000,,5300548576,3,1.0,14,550100000,ST,1.0
3078,150104,700585,5500008018.0,10,14.0,14.0,182.0,F,,203,203,Z010,Y5,720.0,255888.0,1,E14,2100,,5300015425,0,1.0,14,130401000,ST,1.0
6396,401799,703555,,0,,,,F,,203,203,Z001,Z1,,,1,,2100,,5300020526,0,40.0,98,90200000,ST,1.0
16279,60100861,709549,,0,,,,F,,272,272,Z012,Z1,300.0,1770.0,100,,3000,,5300504661,0,1.0,999,0,ST,1.0
13743,60082344,700537,,0,,,,F,,203,203,Z010,Y5,,,1,E13,2000,,5300461075,0,1.0,28,70600000,ST,1.0
2404,310543,700131,,0,,,,F,,203,203,Z001,Z1,,,100,,2000,,5300002528,0,1.0,21,110100000,ST,1.0
11037,380913,700098,,0,,,,F,,203,203,Z001,Z1,,,1,,2100,,5300008010,0,15.0,90,70600000,ST,1.0
5422,210525,703003,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300006224,0,1.0,28,100201000,ST,1.0
11829,60015421,709741,,0,,,,F,,213,213,Z008,X5,,,100,E20,3000,,5300367099,0,1.0,42,10103000,ST,1.0
1088,60027939,706085,,0,,,,F,,272,272,Z012,Z7,70.0,306992.0,1,,3000,,5300382198,0,1.0,145,70200000,ST,1.0
17386,60025090,708069,,0,,,,F,,206,206,Z001,Z1,340.0,13124.0,100,,2000,,5300375492,0,1.0,30,140400000,ST,1.0
9401,25020153,706647,,0,,,,F,,272,272,Z012,Z7,210.0,13574.0,100,,3000,,5300099195,0,1.0,112,100100000,ST,1.0
9484,4008233,705025,,0,,,,F,,276,276,Z012,Y4,1470.0,9561.0,100,E11,3000,,5300179009,0,1.0,182,90300000,ST,1.0
6115,4000262,706836,,0,,,,F,,990,990,Z012,Z7,50.0,203005.0,1,,3000,,5300105549,0,1.0,14,71000000,ST,1.0
11912,240003,702649,,0,,,,F,,213,213,Z001,Z1,,,1,,2100,,5300005967,0,1.0,56,10102000,ST,1.0
13279,60034618,714846,,0,,,,F,30.0,228,228,Z012,Y2,,,1,E13,3000,,5300430830,3,1.0,56,10403000,ST,1.0
13367,390179,2000,,0,,,,F,40.0,206,206,Z012,Z1,,,1,,3000,3000.0,5300215022,0,1.0,30,581100000,ST,1.0
8652,30135900-03,704854,,0,,,,F,30.0,205,205,Z001,Z1,,,1,,2100,,5300394352,3,1.0,4,10402000,ST,1.0
8098,23094900,2100,,0,,,,F,41.0,999,999,Z012,Z4,,,1,,3000,3000.0,5300520068,0,1.0,999,550100000,ST,1.0
7208,380131,702165,,0,,,,F,,203,203,Z001,Z1,,,100,,2000,,5300005192,0,1.0,21,120000000,ST,1.0
11140,290442,702465,,0,,,,F,,203,203,Z001,Z1,,,1,,2000,,5300113498,0,1.0,280,131100000,ST,1.0
16976,345109,708235,,0,,,,F,,215,215,Z008,Y7,130.0,10319.0,1,E13,3000,,5300137142,0,1.0,42,80200000,ST,1.0
7411,130473,700049,,0,,,,F,,203,203,Z011,Y5,,,1,E11,2100,,5300013887,0,1.0,35,70200000,ST,1.0
17122,1131203,703929,,0,,,,F,30.0,993,992,Z001,Z1,,,1,,2000,,5300415007,3,1.0,7,140400000,ST,1.0
15781,347085,706888,,0,,,,F,,707,707,Z001,Z2,,,100,,2000,,5300156092,0,1.0,10,80600000,ST,1.0
10586,1565414,701056,,0,,,,F,30.0,706,706,Z011,Y4,,,100,E12,2000,,5300179896,3,1.0,14,550100000,ST,1.0
12594,393124,701948,,0,,,,F,,206,206,Z001,Y4,,,100,E15,2100,,5300014916,0,1.0,14,530104000,ST,1.0
7361,390752,700225,,0,,,,F,,206,206,Z002,Z7,,,1,,2000,,5300012644,0,1.0,14,510200000,PAK,1.0
1633,200166,702324,5500004758.0,10,14.0,14.0,140.0,F,,731,731,Z008,Y5,64400.0,481412.0,100,E14,2000,,5300072232,0,1.0,14,100201000,ST,1.0
11403,30021415,701098,,0,,,,F,,279,279,Z001,Y4,40.0,8956.0,1,E15,3000,,5300179415,0,1.0,35,20100000,ST,1.0
8586,110233,701548,,0,,,,F,,203,203,Z001,Z1,,,1,,2000,,5300002353,0,1.0,77,70800000,ST,1.0
10132,393194,700225,,0,,,,F,,206,206,Z001,Z7,,,1,,2000,,5300015218,0,1.0,28,510100000,ST,1.0
411,394153,702303,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300168898,0,1.0,70,520300000,ST,1.0
10456,4006214,701885,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300134385,0,1.0,28,110300000,ST,1.0
5805,4003404,704141,,0,,,,F,20.0,279,279,Z001,Y4,10.0,482.0,1,E13,3000,,5300107190,0,1.0,49,131400000,ST,1.0
5237,34063501UB,709868,,0,,,,F,,202,202,Z011,Y9,10830.0,4607301.0,1,E13,2000,,5300169163,0,1.0,105,40100000,ST,1.0
2130,290092,701029,,0,,,,F,,203,203,Z012,Z1,,,1,,3000,,5300014624,0,1.0,70,131100000,ST,1.0
18647,170077,700418,,0,,,,F,,203,203,Z001,Y2,,,1,E13,2000,,5300016304,0,1.0,42,50200000,ST,1.0
3657,88021900UB,1000,,0,,,,F,,991,991,Z008,TB,,,1,,2100,,5300053135,0,1.0,3,520400000,ST,1.0
14496,346087,705812,,0,,,,F,,215,215,Z001,Y4,,,1,E13,2000,,5300078981,0,1.0,120,80100000,ST,1.0
1163,24428002UB,709154,,0,,,,F,,711,711,Z010,Y4,,,1,E13,2000,,5300172453,0,1.0,35,10102000,ST,1.0
17415,340677,701417,,0,,,,F,,215,215,Z001,Y4,260.0,15573.0,1,E13,3000,,5300010914,0,1.0,42,80600000,ST,1.0
15713,390166,700536,,0,,,,F,,206,206,Z001,Z1,,,1,,2100,,5300009873,0,1.0,14,530200000,ST,1.0
18423,4003536,704798,,0,,,,F,,278,278,Z012,Y4,260.0,192248.0,1,E13,3000,,5300144018,0,1.0,21,80200000,ST,1.0
9724,60007899,706671,5500008105.0,10,14.0,14.0,56.0,F,,733,733,Z001,Y9,390.0,94483.0,100,E13,3000,,5300378174,0,1.0,56,60100000,ST,1.0
2910,95194394,707482,,0,,,,F,,216,216,Z001,Z1,,,1,,2100,,5300194826,0,1.0,42,100202000,ST,1.0
12446,30020445,1900,,0,,,,F,,278,278,Z012,Y4,110.0,7955.0,1,E11,3000,,5300109747,0,1.0,19,140500000,ST,1.0
17659,341417,702700,,0,,,,F,,996,996,Z001,Z1,,,1,,2000,,5300094674,0,1.0,112,80800000,ST,1.0
7507,346158,701230,,0,,,,F,,707,707,Z001,Z2,,,1,,2000,,5300082020,0,1.0,28,560300000,ST,1.0
6287,4001076,706814,,0,,,,F,,206,206,Z001,Z1,,,100,,2000,,5300105847,0,1.0,14,140200000,ST,1.0
3205,393871,705680,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300119256,0,1.0,30,520000000,ST,1.0
10816,190556,700666,,0,,,,F,,203,203,Z001,Z1,,,100,,2000,,5300165286,0,1.0,42,110500000,ST,1.0
18392,420272,702723,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300022599,0,1.0,14,10100000,ST,1.0
4346,240221,705490,4600012833.0,10,224.0,,,F,,208,208,Z011,Y2,1960.0,28278.0,100,E13,2100,,5300075777,0,1.0,14,90100000,ST,1.0
16244,60033564,709741,5500005524.0,10,42.0,42.0,42.0,F,,713,713,Z008,V9,,,1,E18,2000,,5300386755,0,1.0,42,10402000,ST,1.0
16845,01244130-02,701710,5500008482.0,10,14.0,14.0,50.0,F,,731,731,Z012,Z7,4520.0,195542.0,100,,3000,,5300383475,0,1.0,42,100202000,ST,1.0
10558,340057,702146,,0,,,,F,,203,203,Z001,Z1,,,1,,2000,,5300008464,0,1.0,21,130000000,ST,1.0
5249,1180405,709641,,0,,,,F,,215,215,Z003,Y4,,,100,E13,2100,,5300167009,0,1.0,49,100100000,ST,1.0
13695,347089,707501,,0,,,,F,,206,206,Z012,Z1,30.0,5886.0,1,,3000,,5300156570,0,1.0,21,80600000,ST,1.0
9214,440452,706435,,0,,,,F,,206,206,Z001,Z7,,,100,,2000,,5300090472,0,1.0,30,110400000,ST,1.0
89,4002569,706837,,0,,,,F,,206,206,Z001,Z7,,,100,,2000,,5300106640,0,1.0,14,70600000,ST,1.0
13825,402040,703531,,0,,,,F,40.0,215,215,Z009,Y6,,,1,E15,2100,,5300058134,0,1.0,3,80400000,ST,1.0
12703,230182,712009,5500003577.0,20,14.0,14.0,112.0,F,,715,715,Z001,Y3,920.0,31837.0,100,E13,3000,,5300194602,0,1.0,14,90400000,ST,1.0
16503,170121,701056,,0,,,,F,40.0,206,206,Z011,Y6,1940.0,56839.0,1,E12,2700,,5300016760,3,1.0,28,130403000,ST,1.0
12281,330447,703002,,0,,,,F,,208,208,Z001,Y9,7150.0,5268661.0,1,E11,2000,,5300172615,0,1.0,104,110600000,ST,1.0
4900,393818,707033,,0,,,,F,,206,206,Z001,Z1,,,1,,2100,,5300097422,0,1.0,180,520300000,ST,1.0
6511,240225,700223,,0,,,,F,,208,208,Z011,Y2,100.0,11622.0,1,E13,3000,,5300086573,0,1.0,56,90100000,ST,1.0
9227,380052,702310,,0,,,,F,,203,203,Z001,Z1,,,100,,2100,,5300004683,0,1.0,21,120000000,ST,1.0
2999,60068965,710178,,0,,,,F,,203,203,Z010,Y5,70.0,1981.0,1,E13,3000,,5300504321,0,1.0,35,70200000,ST,1.0
11991,160109,702681,,0,,,,F,,203,203,Z001,Z7,,,1,,2100,,5300117541,0,1.0,168,110500000,ST,1.0
16783,4005086,706998,,0,,,,F,,703,703,Z001,Z7,,,1,,2000,,5300114528,0,1.0,14,100202000,ST,1.0
1027,340795,700303,,0,,,,F,,215,215,Z001,Z1,,,1,,2100,,5300011477,0,1.0,7,80100000,ST,1.0
5529,400242,702533,,0,,,,F,,206,206,Z001,Z1,,,100,,2100,,5300017272,0,1.0,14,10101000,DM2,1.0
14322,394024,701948,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300169735,0,1.0,30,530101000,ST,1.0
10884,60098312,700151,,0,,,,F,,996,204,Z012,Z1,,,1,,3000,,5300534137,0,1.0,70,10300000,ST,1.0
7511,60087881,716170,,0,,,,F,,206,206,Z001,Z7,18670.0,119179.0,100,,2000,,5300466913,0,1.0,60,120000000,ST,1.0
9395,250037,700623,,0,,,,F,,203,203,Z002,Y4,1972500.0,32992.0,1000,E11,2100,,5300010503,0,1.0,14,130404000,MM,1.0
13485,60059090,703341,,0,,,,F,,203,203,Z010,Y9,9810.0,752522.0,100,E13,2100,,5300426421,0,1.0,210,30100000,ST,1.0
4755,230124,700914,,0,,,,F,,215,215,Z012,Y2,,,1,E13,3000,,5300005722,0,1.0,14,90400000,ST,1.0
4808,440447,703255,,0,,,,F,,203,203,Z001,Z1,,,1,,2000,,5300021356,0,1.0,35,30000000,ST,1.0
13221,190412,706910,,0,,,,F,,207,207,Z009,Z7,1420.0,5394.0,100,,2100,,5300175584,0,1.0,45,140700000,ST,1.0
9274,130106,703568,,0,,,,F,,203,203,Z002,Z2,,,1,,2000,,5300011161,0,5.0,56,70200000,ST,1.0
14757,310276,703079,,0,,,,F,,707,707,Z001,Z2,,,1,,2000,,5300000865,0,15.0,84,140300000,ST,1.0
3590,60039733,714899,,0,,,,F,,219,219,Z001,Z1,,,1,,2000,,5300551060,0,1.0,84,10402000,ST,1.0
13308,4103147,706859,,0,,,,F,,272,272,Z012,Z7,90.0,57643.0,1,,3000,,5300104291,0,1.0,21,70600000,ST,1.0
4751,34785302,2000,,0,,,,F,40.0,266,998,Z004,EX,,,1,,2700,3000.0,5300284621,0,,5,10102000,ST,1.0
17294,4005371,707284,4600012435.0,10,60.0,,,F,,207,207,Z001,Y4,380.0,7447.0,100,E11,2000,,5300111076,0,2.0,60,70300000,ST,1.0
14332,60026994,705311,,0,,,,F,,206,206,Z001,Z7,4050.0,444454.0,100,,2000,,5300378705,0,1.0,90,130000000,ST,1.0
6286,23103304,2100,,0,,,,F,41.0,224,224,Z012,Z7,120.0,61669.0,1,,3000,3000.0,5300197395,0,1.0,70,40200000,ST,1.0
9154,4000463,701710,,0,,,,F,,231,231,Z008,Y4,,,1,E14,2100,,5300170092,0,1.0,49,100201000,ST,1.0
5423,24034502,702257,,0,,,,F,,212,212,Z001,Y4,,,100,E13,2100,,5300142894,0,1.0,42,50300000,ST,1.0
8834,470032,704702,,0,,,,F,,206,206,Z001,W2,,,1,,2100,,5300068870,0,1.0,14,590200000,ST,1.0
6563,4006878,701499,,0,,,,F,,203,203,Z001,Y4,,,100,E11,2000,,5300149961,0,1.0,14,140000000,ST,1.0
14579,270091,701027,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300007325,0,1.0,14,130000000,ST,1.0
1839,4002307,706831,,0,,,,F,,206,206,Z001,Z1,,,1,,2100,,5300106491,0,1.0,14,70600000,ST,1.0
5916,24418001UB,707587,,0,,,,F,,202,202,Z010,Z3,,,1,,2100,,5300151339,0,1.0,168,40100000,ST,1.0
8052,100618,700222,,0,,,,F,,208,208,Z011,Y9,,,100,E11,2100,,5300089700,0,1.0,21,70900000,ST,1.0
7653,23033502UB,701317,,0,,,,F,,211,211,Z010,Y4,,,1,E12,2100,,5300064133,0,1.0,28,10100000,ST,1.0
10653,60070315,700585,,0,,,,F,,232,232,Z001,Z1,,,100,,2000,,5300449032,0,1.0,999,50300000,ST,1.0
